local oaci iata tipo denominacion coordenadas latitud longitud elev uom_elev ref distancia_ref direccion_ref condicion control region fir uso trafico sna concesionado provincia inhab
"ACB Aeródromo CORONEL BOGADO/AGROSERVICIOS 33°16'20""S  60°34'14""W -60,57066 -33,27226 44 Metros Coronel Bogado 6 NE PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO SANTA FÉ NO"
"ACH Aeródromo GENERAL ACHA 37°24' 6""S  64°36'49""W -64,61351 -37,40164 277 Metros General Acha 3 SO PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO LA PAMPA NO"
"ACM Aeródromo ARRECIFES/LA CURA MALAL 34° 4'33""S  60° 8'30""W -60,1417 -34,07574 37 Metros Arrecifes 4 OSO PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"ADO SAWD PUD Aeródromo PUERTO DESEADO 47°44' 6""S  65°54'15""W -65,9041 -47,73511 82 Metros Puerto Deseado 2 N PUBLICO AERADIO RASU SAVF CIVIL Nacional NO NO SANTA CRUZ NO"
"ADT Aeródromo BANDERA/AGROSERVICIOS DOÑA TERESA 28°51'19""S  62°15'53""W -62,26462 -28,85541 75 Metros Bandera 4 N PRIVADO NOCONTROL RANO SACF AEROAPP Nacional NO NO SANTIAGO DEL ESTERO NO"
"ADU Aeródromo BANDERA/DUTTO 28°52' 1""S  62°14'17""W -62,23812 -28,86691 87 Metros Bandera 3 NE PRIVADO NOCONTROL RANO SACF AEROAPP Nacional NO NO SANTIAGO DEL ESTERO NO"
"AER SABE AEP Aeródromo BUENOS AIRES/AEROPARQUE J. NEWBERY 34°33'32""S  58°24'59""W -58,41638889 -34,55888889 5,6 Metros Ciudad de Buenos Aires 2 NE PUBLICO CONTROL RACE SAEF JOINT Internacional SI SI CIUDAD AUTÓNOMA DE BUENOS AIRES NO"
"AGI SAVA Aeródromo PIEDRA DEL ÁGUILA 40°11'32""S  70° 0'39""W -70,01075 -40,19232 649 Metros Piedra del Águila 17 SSE PRIVADO NOCONTROL RACE SAEF Nacional NO NO NEUQUÉN NO"
"AGR Aeródromo ALTA GRACIA 31°39' 4""S  64°23'38""W -64,39388889 -31,65111111 533 Metros Alta Gracia 2 E PUBLICO NOCONTROL RANO SACF CIVIL Nacional NO NO CÓRDOBA NO"
"AII Aeródromo CHACABUCO/LAS DOS A 34°48'40""S  60°30'60""W -60,51661 -34,81116 60 Metros Chacabuco 20 SSO PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"AJA Aeródromo LA LAJA 31°21' 5""S  68°28'23""W -68,47305556 -31,35138889 650 Metros La Laja 1 SSE PRIVADO NOCONTROL RANO SAMF CIVIL Nacional NO NO SAN JUAN NO"
"ALC Aeródromo AMEGHINO/LA CHACRA 34°48'34""S  62°31'23""W -62,52293 -34,80942 109 Metros Florentino Ameghino 7 NO PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"ALL Aeródromo ALLEN 38°57'30""S  67°48'10""W -67,80277778 -38,95833333 290 Metros Allen 3,5 E PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO RÍO NEGRO NO"
